source,listing_id,bank_name,property_name,location,application_deadline,auction_date,reserve_price,details_url,date_found
ForeclosureIndia,2275020,Punjab National Bank,Shops in Super Market Phase II,Super Market Phase II,08-06-2026,08-06-2026,1950000,https://foreclosureindia.com/auction/goa/2275020,2026-06-08
ForeclosureIndia,2275019,Punjab National Bank,Flat in Arpora,Arpora,08-06-2026,08-06-2026,9000000,https://foreclosureindia.com/auction/goa/2275019,2026-06-08
ForeclosureIndia,2275017,Punjab National Bank,"Flat in Arpora, Nagao","Arpora, Nagao",08-06-2026,08-06-2026,13300000,https://foreclosureindia.com/auction/goa/2275017,2026-06-08
ForeclosureIndia,2272645,Cholamandalam Investment And Finance Company Limited,Residential Villa in Ribandar,Ribandar,29-06-2026,30-06-2026,14000000,https://foreclosureindia.com/auction/goa/2272645,2026-06-08
ForeclosureIndia,2273670,Bank of Baroda,Flat in sancoale,sancoale,10-06-2026,10-06-2026,2210000,https://foreclosureindia.com/auction/goa/2273670,2026-06-08
ForeclosureIndia,2273653,Bank of Baroda,Individual House in SWATANTRA PATH,SWATANTRA PATH,12-06-2026,12-06-2026,22268000,https://foreclosureindia.com/auction/goa/2273653,2026-06-08
ForeclosureIndia,2272741,Union Bank of India,Vehicle in Panjim,Panjim,11-06-2026,12-06-2026,550000,https://foreclosureindia.com/auction/goa/2272741,2026-06-08
ForeclosureIndia,2272743,Union Bank of India,Vehicle in Panjim,Panjim,11-06-2026,12-06-2026,500000,https://foreclosureindia.com/auction/goa/2272743,2026-06-08
ForeclosureIndia,2272742,Union Bank of India,Vehicle in Panjim,Panjim,11-06-2026,12-06-2026,500000,https://foreclosureindia.com/auction/goa/2272742,2026-06-08
ForeclosureIndia,2272738,Union Bank of India,Vehicle in Panjim,Panjim,11-06-2026,12-06-2026,325000,https://foreclosureindia.com/auction/goa/2272738,2026-06-08
ForeclosureIndia,2272736,Bank of Baroda,Vehicle in Goa,Goa,12-06-2026,12-06-2026,2450000,https://foreclosureindia.com/auction/goa/2272736,2026-06-08
ForeclosureIndia,2272733,Bank of Baroda,Vehicle in Goa,Goa,12-06-2026,12-06-2026,4600000,https://foreclosureindia.com/auction/goa/2272733,2026-06-08
ForeclosureIndia,2271842,Canara Bank,Flat in Kurtarkar Nagari,Kurtarkar Nagari,09-06-2026,10-06-2026,4000000,https://foreclosureindia.com/auction/goa/2271842,2026-06-08
ForeclosureIndia,2271834,Canara Bank,Others in Belekeri,Belekeri,10-06-2026,11-06-2026,2473000,https://foreclosureindia.com/auction/goa/2271834,2026-06-08
ForeclosureIndia,2271831,Canara Bank,Individual House in Shedageri,Shedageri,11-06-2026,12-06-2026,3281000,https://foreclosureindia.com/auction/goa/2271831,2026-06-08
ForeclosureIndia,2271815,Canara Bank,Flat in Oras Budruk,Oras Budruk,16-06-2026,17-06-2026,1900000,https://foreclosureindia.com/auction/goa/2271815,2026-06-08
ForeclosureIndia,2270796,Canara Bank,Office in Bangaramakki,Bangaramakki,11-06-2026,12-06-2026,14300000,https://foreclosureindia.com/auction/goa/2270796,2026-06-08
ForeclosureIndia,2270768,Bank of Maharashtra,Others in Nivhe,Nivhe,16-06-2026,16-06-2026,4630000,https://foreclosureindia.com/auction/goa/2270768,2026-06-08
ForeclosureIndia,2270022,Bank of Baroda,Flat in Sadashiv Plaza,Sadashiv Plaza,10-06-2026,10-06-2026,4385000,https://foreclosureindia.com/auction/goa/2270022,2026-06-08
ForeclosureIndia,2269598,Bank of Maharashtra,Plot in Pernem,Pernem,22-06-2026,22-06-2026,23500000,https://foreclosureindia.com/auction/goa/2269598,2026-06-08
